,x,y,z,Vx,Vy,Vz,t
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,-0.011,-2.156,0.48,0.0,0.0,0.0,2.1827638149261475
2,0.0009475933038629591,-1.9661271572113037,0.22504892945289612,0.0,0.0,0.0,2.1884899139404297
3,0.0009475933038629591,-1.9661271572113037,0.22504892945289612,0.0,0.0,0.0,2.193791627883911
4,0.0009475933038629591,-1.9661271572113037,0.22504892945289612,0.0,0.0,0.0,2.199384927749634
5,0.0009475933038629591,-1.9661271572113037,0.22504892945289612,0.0,0.0,0.0,2.2055130004882812
6,0.0009475933038629591,-1.9661271572113037,0.22504892945289612,0.0,0.0,0.0,2.211085319519043
7,0.0009475933038629591,-1.9661271572113037,0.22504892945289612,0.0,0.0,0.0,2.216646909713745
8,0.0009475933038629591,-1.9661271572113037,0.22504892945289612,0.0,0.0,0.0,2.2222516536712646
9,0.0009475933038629591,-1.9661271572113037,0.22504892945289612,0.0,0.0,0.0,2.227814197540283
10,0.0009475933038629591,-1.9661271572113037,0.22504892945289612,0.0,0.0,0.0,2.2334702014923096
11,-0.0016391994431614876,-1.9822865724563599,0.2467740774154663,0.0,0.0,0.0,2.2389791011810303
12,-0.0016391994431614876,-1.9822865724563599,0.2467740774154663,0.0,0.0,0.0,2.244729995727539
13,-0.0016391994431614876,-1.9822865724563599,0.2467740774154663,0.0,0.0,0.0,2.250370979309082
14,-0.016,-2.17,0.534,0.0,0.0,0.0,2.255976676940918
15,-0.016,-2.17,0.534,0.0,0.0,0.0,2.261239767074585
16,-0.016,-2.17,0.534,0.0,0.0,0.0,2.2668354511260986
17,-0.016,-2.17,0.534,0.0,0.0,0.0,2.27199649810791
18,-0.016,-2.17,0.534,0.0,0.0,0.0,2.277289628982544
19,-0.016,-2.17,0.534,0.0,0.0,0.0,2.282634735107422
20,-0.016,-2.17,0.534,0.0,0.0,0.0,2.288228988647461
21,-0.016,-2.17,0.534,0.0,0.0,0.0,2.2938501834869385
22,-0.016,-2.17,0.534,0.0,0.0,0.0,2.2994163036346436
23,-0.016,-2.17,0.534,0.0,0.0,0.0,2.304757595062256
24,-0.0039709932170808315,-1.997457504272461,0.2685708701610565,0.0,0.0,0.0,2.310822010040283
25,-0.0039709932170808315,-1.997457504272461,0.2685708701610565,0.0,0.0,0.0,2.3168623447418213
26,-0.0039709932170808315,-1.997457504272461,0.2685708701610565,0.0,0.0,0.0,2.322368621826172
27,-0.0039709932170808315,-1.997457504272461,0.2685708701610565,0.0,0.0,0.0,2.3279309272766113
28,-0.019,-2.184,0.589,0.0,0.0,0.0,2.3335797786712646
29,-0.019,-2.184,0.589,0.0,0.0,0.0,2.3387856483459473
30,0.0020884904079139233,-2.0005135536193848,0.2922563850879669,0.0,0.0,0.0,2.3444197177886963
31,0.0020884904079139233,-2.0005135536193848,0.2922563850879669,0.0,0.0,0.0,2.3500170707702637
32,0.0020884904079139233,-2.0005135536193848,0.2922563850879669,0.0,0.0,0.0,2.355586051940918
33,0.0020884904079139233,-2.0005135536193848,0.2922563850879669,0.0,0.0,0.0,2.3608152866363525
34,0.0020884904079139233,-2.0005135536193848,0.2922563850879669,0.0,0.0,0.0,2.366102457046509
35,0.0020884904079139233,-2.0005135536193848,0.2922563850879669,0.0,0.0,0.0,2.3717141151428223
36,0.0020884904079139233,-2.0005135536193848,0.2922563850879669,0.0,0.0,0.0,2.3777639865875244
37,0.0020884904079139233,-2.0005135536193848,0.2922563850879669,0.0,0.0,0.0,2.383150100708008
38,0.0020884904079139233,-2.0005135536193848,0.2922563850879669,0.0,0.0,0.0,2.388746738433838
39,0.0020884904079139233,-2.0005135536193848,0.2922563850879669,0.0,0.0,0.0,2.394092559814453
40,0.001119703403674066,-2.0135741233825684,0.3164786398410797,0.0,0.0,0.0,2.3996527194976807
41,0.001119703403674066,-2.0135741233825684,0.3164786398410797,0.0,0.0,0.0,2.4064271450042725
42,0.001119703403674066,-2.0135741233825684,0.3164786398410797,0.0,0.0,0.0,2.4120287895202637
43,0.001119703403674066,-2.0135741233825684,0.3164786398410797,0.0,0.0,0.0,2.4172356128692627
44,-0.02,-2.193,0.66,0.0,0.0,0.0,2.4230101108551025
45,-0.02,-2.193,0.66,0.0,0.0,0.0,2.428262948989868
46,-0.02,-2.193,0.66,0.0,0.0,0.0,2.433568239212036
47,-0.02,-2.193,0.66,0.0,0.0,0.0,2.43912935256958
48,-0.02,-2.193,0.66,0.0,0.0,0.0,2.4447386264801025
49,-0.0019089553970843554,-2.0283000469207764,0.33898693323135376,0.0,0.0,0.0,2.4504435062408447
50,-0.0019089553970843554,-2.0283000469207764,0.33898693323135376,0.0,0.0,0.0,2.4565625190734863
51,-0.0019089553970843554,-2.0283000469207764,0.33898693323135376,0.0,0.0,0.0,2.463146209716797
52,-0.0019089553970843554,-2.0283000469207764,0.33898693323135376,0.0,0.0,0.0,2.468782663345337
53,-0.0019089553970843554,-2.0283000469207764,0.33898693323135376,0.0,0.0,0.0,2.4741110801696777
54,-0.0019089553970843554,-2.0283000469207764,0.33898693323135376,0.0,0.0,0.0,2.4797041416168213
55,-0.0019089553970843554,-2.0283000469207764,0.33898693323135376,0.0,0.0,0.0,2.484893560409546
56,-0.0019089553970843554,-2.0283000469207764,0.33898693323135376,0.0,0.0,0.0,2.4904894828796387
57,-0.0019089553970843554,-2.0283000469207764,0.33898693323135376,0.0,0.0,0.0,2.4960858821868896
58,-0.0019089553970843554,-2.0283000469207764,0.33898693323135376,0.0,0.0,0.0,2.5017306804656982
